=> Trial Start: ['dir_sim', 'recency', 'betweenness']
=> Epoch 108 | Train: 0.7332 (Easy: 0.4421, Hard: 1.0240) | Val: 0.6430 (Easy: 0.3698, Hard: 0.9828) | LR: 0.000500
=> Epoch 109 | Train: 0.7288 (Easy: 0.4365, Hard: 1.0209) | Val: 0.6460 (Easy: 0.3692, Hard: 0.9868) | LR: 0.000500
=> Epoch 110 | Train: 0.7209 (Easy: 0.4369, Hard: 0.9953) | Val: 0.6429 (Easy: 0.3666, Hard: 0.9856) | LR: 0.000500
=> Epoch 111 | Train: 0.7188 (Easy: 0.4267, Hard: 1.0076) | Val: 0.6440 (Easy: 0.3680, Hard: 0.9885) | LR: 0.000500
=> Epoch 112 | Train: 0.7270 (Easy: 0.4402, Hard: 1.0093) | Val: 0.6447 (Easy: 0.3630, Hard: 0.9923) | LR: 0.000500
=> Epoch 113 | Train: 0.7218 (Easy: 0.4260, Hard: 1.0057) | Val: 0.6417 (Easy: 0.3658, Hard: 0.9815) | LR: 0.000500
=> Epoch 114 | Train: 0.7312 (Easy: 0.4368, Hard: 1.0248) | Val: 0.6504 (Easy: 0.3649, Hard: 1.0029) | LR: 0.000500
=> Epoch 115 | Train: 0.7300 (Easy: 0.4368, Hard: 1.0154) | Val: 0.6443 (Easy: 0.3650, Hard: 0.9876) | LR: 0.000500
=> Epoch 116 | Train: 0.7227 (Easy: 0.4332, Hard: 1.0081) | Val: 0.6430 (Easy: 0.3654, Hard: 0.9854) | LR: 0.000500
=> Epoch 117 | Train: 0.7277 (Easy: 0.4340, Hard: 1.0121) | Val: 0.6447 (Easy: 0.3653, Hard: 0.9881) | LR: 0.000500
=> Epoch 118 | Train: 0.7198 (Easy: 0.4329, Hard: 1.0028) | Val: 0.6437 (Easy: 0.3626, Hard: 0.9899) | LR: 0.000500
