=> Trial Start: ['dir_sim', 'recency', 'last_node']

=> Split: 0 | Features: ['dir_sim', 'recency', 'last_node']
=> Epoch 140 | Train: 0.7753 (Easy: 0.4618, Hard: 1.0770) | Val: 0.6934 (Easy: 0.4308, Hard: 0.9827) | LR: 0.000500
=> Epoch 141 | Train: 0.7627 (Easy: 0.4654, Hard: 1.0528) | Val: 0.6921 (Easy: 0.4315, Hard: 0.9810) | LR: 0.000500
=> Epoch 142 | Train: 0.7713 (Easy: 0.4734, Hard: 1.0686) | Val: 0.6924 (Easy: 0.4277, Hard: 0.9829) | LR: 0.000500
=> Epoch 143 | Train: 0.7633 (Easy: 0.4700, Hard: 1.0444) | Val: 0.6934 (Easy: 0.4377, Hard: 0.9722) | LR: 0.000500
=> Epoch 144 | Train: 0.7656 (Easy: 0.4674, Hard: 1.0505) | Val: 0.6888 (Easy: 0.4257, Hard: 0.9792) | LR: 0.000500
=> Epoch 145 | Train: 0.7767 (Easy: 0.4717, Hard: 1.0705) | Val: 0.6932 (Easy: 0.4385, Hard: 0.9698) | LR: 0.000500
=> Epoch 146 | Train: 0.7545 (Easy: 0.4523, Hard: 1.0442) | Val: 0.6916 (Easy: 0.4325, Hard: 0.9767) | LR: 0.000500
=> Epoch 147 | Train: 0.7729 (Easy: 0.4761, Hard: 1.0580) | Val: 0.6890 (Easy: 0.4313, Hard: 0.9744) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 148 | Train: 0.7656 (Easy: 0.4614, Hard: 1.0634) | Val: 0.6894 (Easy: 0.4334, Hard: 0.9727) | LR: 0.000250
=> Epoch 149 | Train: 0.7583 (Easy: 0.4715, Hard: 1.0426) | Val: 0.6885 (Easy: 0.4347, Hard: 0.9688) | LR: 0.000250
=> Epoch 150 | Train: 0.7561 (Easy: 0.4590, Hard: 1.0424) | Val: 0.6918 (Easy: 0.4375, Hard: 0.9708) | LR: 0.000250
=> Epoch 151 | Train: 0.7515 (Easy: 0.4562, Hard: 1.0405) | Val: 0.6914 (Easy: 0.4383, Hard: 0.9701) | LR: 0.000250
=> Epoch 152 | Train: 0.7639 (Easy: 0.4623, Hard: 1.0548) | Val: 0.6899 (Easy: 0.4345, Hard: 0.9706) | LR: 0.000250
=> Early stopping triggered
=> Final Test Accuracy: 0.6882 | Easy: 0.7837 | Hard: 0.5379

=> Split: 1 | Features: ['dir_sim', 'recency', 'last_node']
=> Epoch 000 | Train: 1.4514 (Easy: 1.1645, Hard: 1.7423) | Val: 0.9782 (Easy: 0.6054, Hard: 1.4425) | LR: 0.001000
=> Epoch 001 | Train: 1.1455 (Easy: 0.6642, Hard: 1.6333) | Val: 0.9130 (Easy: 0.5229, Hard: 1.4009) | LR: 0.001000
=> Epoch 002 | Train: 1.1013 (Easy: 0.6258, Hard: 1.5764) | Val: 0.8855 (Easy: 0.5047, Hard: 1.3672) | LR: 0.001000
=> Epoch 003 | Train: 1.0751 (Easy: 0.5998, Hard: 1.5477) | Val: 0.8747 (Easy: 0.5027, Hard: 1.3489) | LR: 0.001000
=> Epoch 004 | Train: 1.0572 (Easy: 0.5925, Hard: 1.5264) | Val: 0.8642 (Easy: 0.4924, Hard: 1.3415) | LR: 0.001000
=> Epoch 005 | Train: 1.0470 (Easy: 0.5801, Hard: 1.5207) | Val: 0.8581 (Easy: 0.4972, Hard: 1.3222) | LR: 0.001000
=> Epoch 006 | Train: 1.0424 (Easy: 0.5775, Hard: 1.5059) | Val: 0.8458 (Easy: 0.4782, Hard: 1.3181) | LR: 0.001000
=> Epoch 007 | Train: 1.0312 (Easy: 0.5668, Hard: 1.4949) | Val: 0.8401 (Easy: 0.4692, Hard: 1.3171) | LR: 0.001000
=> Epoch 008 | Train: 1.0199 (Easy: 0.5556, Hard: 1.4941) | Val: 0.8321 (Easy: 0.4675, Hard: 1.3026) | LR: 0.001000
=> Epoch 009 | Train: 0.9982 (Easy: 0.5346, Hard: 1.4656) | Val: 0.8137 (Easy: 0.4668, Hard: 1.2616) | LR: 0.001000
